Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420405000.000000;Hz
Freq Offset;0.000000;Hz
Start;1419905000.000000;Hz
Stop;1420905000.000000;Hz
Span;1000000.000000;Hz
Ref Level;20.000000;dBm
Level Offset;0.000000;dB
Rf Att;30.000000;dB
El Att;0.000000;dB
RBW;3000.000000;Hz
VBW;1000.000000;Hz
SWT;0.002100;s
Sweep Count;0;
Window;1;TOI
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
1420682722.2777011395;-78.86316680908203125;-86.08448028564453125
1420684720.2796990871;-80.07955169677734375;-85.22339630126953125
1420686718.2816970348;-81.36780548095703125;-86.7821197509765625
1420688716.2836949825;-78.5731658935546875;-88.10398101806640625
1420690714.2856929302;-78.4440460205078125;-84.52579498291015625
1420692712.2876908779;-78.98382568359375;-80.8465423583984375
1420694710.2896888256;-80.1582489013671875;-91.90288543701171875
1420696708.2916867733;-85.2924652099609375;-87.10448455810546875
1420698706.293684721;-82.83229827880859375;-88.1980438232421875
1420700704.2956826687;-81.2782440185546875;-89.41587066650390625
1420702702.2976806164;-77.64756011962890625;-91.81931304931640625
1420704700.2996785641;-78.38086700439453125;-92.36185455322265625
1420706698.3016765118;-83.18723297119140625;-88.06005859375
1420708696.3036744595;-82.2678375244140625;-84.45751190185546875
1420710694.3056724072;-80.146575927734375;-83.500823974609375
1420712692.3076703548;-80.46662139892578125;-85.140380859375
1420714690.3096683025;-78.29410552978515625;-90.0443115234375
1420716688.3116662502;-80.55582427978515625;-82.49468231201171875
1420718686.3136641979;-83.2625885009765625;-89.04776763916015625
1420720684.3156621456;-81.701904296875;-84.922210693359375
1420722682.3176600933;-79.06555938720703125;-80.42501068115234375
1420724680.319658041;-79.15921783447265625;-79.587677001953125
1420726678.3216559887;-81.81818389892578125;-84.6192779541015625
1420728676.3236539364;-86.42555999755859375;-90.9417877197265625
1420730674.3256518841;-83.83779144287109375;-93.23038482666015625
1420732672.3276498318;-78.1600799560546875;-93.3515167236328125
1420734670.3296477795;-79.9081878662109375;-86.85970306396484375
1420736668.3316457272;-82.8447113037109375;-89.49610137939453125
1420738666.3336436749;-80.2061920166015625;-83.49474334716796875
1420740664.3356416225;-79.54290008544921875;-88.64011383056640625
1420742662.3376395702;-77.45323944091796875;-83.14748382568359375
1420744660.3396375179;-79.96031951904296875;-86.2962646484375
1420746658.3416354656;-83.10076141357421875;-88.5728302001953125
1420748656.3436334133;-79.0828094482421875;-84.43079376220703125
1420750654.345631361;-79.07534027099609375;-81.40727996826171875
1420752652.3476293087;-78.9823455810546875;-82.2252197265625
1420754650.3496272564;-76.59980010986328125;-77.12610626220703125
1420756648.3516252041;-77.35506439208984375;-82.7441253662109375
1420758646.3536231518;-77.07958221435546875;-91.29045867919921875
